Функция,Метод,x_min,y_min,"J(x_min, y_min)",Число шагов,Файл графика
f1,С возвратом при неудачном шаге,0.0,0.0,0.0,191,f1_return.png
f1,Наилучшей пробы,0.0,0.0,0.0,230,f1_best_probe.png
f1,Статистического градиента,0.0,0.0,0.0,27,f1_stat_grad.png
f2,С возвратом при неудачном шаге,0.0,0.0,0.0,209,f2_return.png
f2,Наилучшей пробы,0.0,0.0,0.0,248,f2_best_probe.png
f2,Статистического градиента,-2e-06,0.0,0.0,33,f2_stat_grad.png
f3,С возвратом при неудачном шаге,1.0,0.999999,1.0,565,f3_return.png
f3,Наилучшей пробы,1.0,1.0,1.0,263,f3_best_probe.png
f3,Статистического градиента,1.0,1.0,1.0,471,f3_stat_grad.png
f4,С возвратом при неудачном шаге,8.0,1.0,1.0,388,f4_return.png
f4,Наилучшей пробы,8.0,1.0,1.0,280,f4_best_probe.png
f4,Статистического градиента,8.0,1.0,1.0,30,f4_stat_grad.png
