case,task_key,g_key,g,g_latex,x0_key,X0,X0_latex,analytic_x,analytic_J,status,phi13_x,phi13_t,phi13_rho,phi13_root,phi32_x,phi32_t,phi32_rho,phi32_root,figure,figure_no
а,a,g1,u^2 - 4,$u^2-4$,xge1,u >= 1,$\{u\in E^1:\ u\geq 1\}$,1,0.78539816,достигается,1.00000000,0.78529898,0.00009918,True,1.00000000,0.78529898,0.00009918,True,graphs/a_g1_xge1_overview.png,1
а,a,g1,u^2 - 4,$u^2-4$,xge0,u >= 0,$\{u\in E^1:\ u\geq 0\}$,0,0.00000000,достигается,0.00000000,-0.00009954,0.00009954,True,0.00000000,-0.00009954,0.00009954,True,graphs/a_g1_xge0_overview.png,2
а,a,g1,u^2 - 4,$u^2-4$,R,E^1,$E^1$,-2,-1.10714872,достигается,-2.00000000,-1.10724653,0.00009782,True,-1.95200000,-1.09745879,0.00009769,True,graphs/a_g1_R_overview.png,3
а,a,g2,(u^2 - 4)/(u^4 + 1),$(u^2-4)(u^4+1)^{-1}$,xge1,u >= 1,$\{u\in E^1:\ u\geq 1\}$,1,0.78539816,достигается,1.00000000,0.78529898,0.00009918,True,1.00000000,0.78529898,0.00009918,True,graphs/a_g2_xge1_overview.png,4
а,a,g2,(u^2 - 4)/(u^4 + 1),$(u^2-4)(u^4+1)^{-1}$,xge0,u >= 0,$\{u\in E^1:\ u\geq 0\}$,0,0.00000000,достигается,0.00000000,-0.00009954,0.00009954,True,0.00000000,-0.00009954,0.00009954,True,graphs/a_g2_xge0_overview.png,5
а,a,g2,(u^2 - 4)/(u^4 + 1),$(u^2-4)(u^4+1)^{-1}$,R,E^1,$E^1$,-2,-1.10714872,достигается,-2.00000000,-1.10724653,0.00009782,True,-1.95200000,-1.09745879,0.00009769,True,graphs/a_g2_R_overview.png,6
а,a,g3,u,$u$,xge1,u >= 1,$\{u\in E^1:\ u\geq 1\}$,-,,$U=\varnothing$,1.00000000,0.78539828,20.00000000,False,1.00000000,0.78539828,20.00000011,False,graphs/a_g3_xge1_overview.png,7
а,a,g3,u,$u$,xge0,u >= 0,$\{u\in E^1:\ u\geq 0\}$,0,0.00000000,достигается,0.00000000,-0.00009954,0.00009954,True,0.00000000,-0.00009954,0.00009954,True,graphs/a_g3_xge0_overview.png,8
а,a,g3,u,$u$,R,E^1,$E^1$,$-\infty$,-1.57079633,inf не достигается,-20.00000000,-1.52093579,0.00009786,True,-20.00000000,-1.52093579,0.00009786,True,graphs/a_g3_R_overview.png,9
а,a,g4,u/(u^2 + 1),$u(u^2+1)^{-1}$,xge1,u >= 1,$\{u\in E^1:\ u\geq 1\}$,-,,$U=\varnothing$,4.00000000,1.32581808,4.70588235,False,4.00000000,1.32581755,4.70588247,False,graphs/a_g4_xge1_overview.png,10
а,a,g4,u/(u^2 + 1),$u(u^2+1)^{-1}$,xge0,u >= 0,$\{u\in E^1:\ u\geq 0\}$,0,0.00000000,достигается,0.00000000,-0.00009954,0.00009954,True,0.00000000,-0.00009954,0.00009954,True,graphs/a_g4_xge0_overview.png,11
а,a,g4,u/(u^2 + 1),$u(u^2+1)^{-1}$,R,E^1,$E^1$,$-\infty$,-1.57079633,inf не достигается,-20.00000000,-1.52093579,0.00009786,True,-20.00000000,-1.52093579,0.00009786,True,graphs/a_g4_R_overview.png,12
а,a,g5,u^2,$u^2$,xge1,u >= 1,$\{u\in E^1:\ u\geq 1\}$,-,,$U=\varnothing$,1.00000000,0.78539828,20.00000000,False,1.00000000,0.78539828,20.00000011,False,graphs/a_g5_xge1_overview.png,13
а,a,g5,u^2,$u^2$,xge0,u >= 0,$\{u\in E^1:\ u\geq 0\}$,0,0.00000000,достигается,0.00000000,-0.00009954,0.00009954,True,0.00000000,-0.00009954,0.00009954,True,graphs/a_g5_xge0_overview.png,14
а,a,g5,u^2,$u^2$,R,E^1,$E^1$,0,0.00000000,достигается,0.00000000,-0.00009789,0.00009789,True,0.00000000,-0.00009840,0.00009840,True,graphs/a_g5_R_overview.png,15
б,b,g1,u^2 - 1,$u^2-1$,xge0,u >= 0,$\{u\in E^1:\ u\geq 0\}$,0,0.00000000,достигается,0.00000000,-0.00009840,0.00009840,True,0.00000000,-0.00009840,0.00009840,True,graphs/b_g1_xge0_overview.png,16
б,b,g2,(u^2 - 1)/(u^4 + 1),$(u^2-1)(u^4+1)^{-1}$,xge0,u >= 0,$\{u\in E^1:\ u\geq 0\}$,0,0.00000000,достигается,0.00000000,-0.00009840,0.00009840,True,0.00000000,-0.00009840,0.00009840,True,graphs/b_g2_xge0_overview.png,17
б,b,g3,(u^2 - 1) exp(-u^2),$(u^2-1)e^{-u^2}$,xge0,u >= 0,$\{u\in E^1:\ u\geq 0\}$,0,0.00000000,достигается,4.00000000,-3.02727352,0.00009730,True,3.99280000,-3.00295409,0.00009793,True,graphs/b_g3_xge0_overview.png,18
